ID,designation,nos,monthly_capacity,type
1,Managing Director,1,625000,director
2,Plant Head,1,333333,director
3,Attendants,2,15000,director
4,Department Head,1,125000,design
5,CAD/CAM Engineer,1,58333,design
6,Simulation & 3 D Modelling Engineer,1,50000,design
7,Patternshop Incharge,1,100000,design
8,Dimension & Customer Support,1,41667,design
9,Tooloing Development & PPAP approval,1,58333,design
10,Department Head,1,100000,production
11,Melting Incharge,1,66667,production
12,Moulding Incharge,1,58333,production
13,Core Shop Incharge,1,58333,production
14,Fettling Incharge,1,41667,production
15,Shot Blasting incharge,1,41667,production
16,Despatch Incharge,1,50000,production
17,PPC Department Head,1,54167,production
18, Material handling  team,27,7000,production
19,Department Head,1,100000,maintenance
20,Electrical Incharge,1,66667,maintenance
21,Mechanical Incharge,1,66667,maintenance
22,Utilities Incharge,1,66667,maintenance
23,Electrical Shift Engineer,6,37500,maintenance
24,Mechanical Shift Engineer,9,37500,maintenance
25,Utilities Shift Engineer,2,37500,maintenance
26,Attendants,26,15000,maintenance
27,Department Head,1,10000,qa/qc
28,Lab Incharge,1,50000,qa/qc
29,Inspection Incharge,1,41667,qa/qc
30,Process Control Incharge,1,41667,qa/qc
31,Lab Engineers,3,29167,qa/qc
32,Attendants,9,15000,qa/qc
33,Department Head,1,125000,marketing
34,Export Business Team Department Lead,1,100000,marketing
35,Domestic Business Team Department Lead,1,100000,marketing
36,Export Business Team Executive,3,50000,marketing
37,Domestic Business Team Executive,3,50000,marketing
38,Department Head,1,125000,finance
39,Accounts Incharge,1,58333,finance
40,Stores Incharge,1,50000,finance
41,Purchase Incharge,1,58333,finance
42,Excise Incharge,1,58333,finance
43,Accounts Staff,5,37500,finance
44,Stores Staff,5,37500,finance
45,Purchase Staff,3,37500,finance
46,Excise Staff,2,37500,finance
47,Attendants,9,15000,finance
48,HR-Department Head,1,125000,human_resource
49,Personnel & Administration Lead,1,100000,human_resource
50,"Staff Management, Counselling & Training  Lead          ",1,66667,human_resource
51,Personnel & Admin Staff,5,37500,human_resource
52,Staff Management & Training Staff,3,37500,human_resource
53,House Keeping  Team,15,105000,human_resource
54,Security (Officer) ,1,35000,human_resource
55,Security (Watchman) ,12,7000,human_resource
56,Attendants,6,15000,human_resource
57,Executive PA To MD),1,66667,strategy_planning
58,Fork lift Operator ,5,9000,other_indirect_labour
59,Supervisor,22,35000,direct_labour
60,Operator,206,12000,direct_labour
61,Skilled,17,15000,direct_labour
62,purchased parts cost,0,7.2,purchased
63,purchase expense,0,10000000,purchase_expense
64,capacity,0,2000000,capacity
65,CRCA,40,40,CRCA
66,Fe-Si-Mg,12,12,Fe-Si-Mg
67,Fe-Si,8,9,Fe-Si
68,Fe-Mn,8,8,Fe-Mn
69,Cov-Steel,16,16,Cov-Steel
70,Bentonite,20,20,Bentonite
71,Lustron,20,20,Lustron
72,Sand,40,40,Sand
73,Resin,8,8,Resin
74,Hardener,8,9,Hardener
75,Amine,8,9,Amine
